id,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6972,Cowboy,Kid Rock,67,0.53,0.00457,5,-29.524,1,0.0455,0.9940000000000001,0.968,0.0984,0.483,82.969
6973,Step To This,Master P Featuring D.I.G.,17,0.522,0.816,2,-5.792999999999999,1,0.0679,0.0127,0.0,0.0878,0.344,102.014
6974,U Don't Know Me (Like U Used To),Brandy,41,0.782,0.449,5,-4.2330000000000005,0,0.0443,0.0028399999999999996,0.0623,0.0921,0.816,95.01299999999999
6975,Man! I Feel Like A Woman!,Shania Twain,66,0.6779999999999999,0.899,10,-2.937,1,0.048,0.637,0.0,0.34700000000000003,0.757,124.944
6976,I Want It That Way,Backstreet Boys,77,0.6890000000000001,0.7020000000000001,6,-5.642,0,0.0261,0.21600000000000003,0.0,0.159,0.484,99.031
6977,Bailamos,Enrique Iglesias,56,0.64,0.873,7,-4.513999999999999,1,0.0409,0.0606,0.00159,0.151,0.544,99.898
6978,You Had Me From Hello,Kenny Chesney,51,0.595,0.39299999999999996,2,-9.908999999999999,1,0.0292,0.508,0.0,0.153,0.2,137.744
6979,Ready To Run,Dixie Chicks,64,0.524,0.831,2,-4.1739999999999995,1,0.036000000000000004,0.00229,0.0,0.171,0.299,115.06700000000001
6980,Girls' Best Friend,JAY-Z,36,0.593,0.537,2,-6.672000000000001,1,0.0674,0.835,1.88e-06,0.0689,0.5870000000000001,92.734
6981,Simon Says,Pharoahe Monch,67,0.684,0.9159999999999999,1,-3.8569999999999998,1,0.43,0.16899999999999998,1.63e-05,0.12300000000000001,0.5529999999999999,93.477
6982,Never Gonna Let You Go,Faith Evans,44,0.7859999999999999,0.601,0,-7.689,1,0.0348,0.201,1.3000000000000001e-05,0.10099999999999999,0.634,109.009
6983,Out Of My Head,Fastball,80,0.851,0.7090000000000001,1,-5.157,0,0.0694,0.0736,0.00137,0.12,0.42,116.46700000000001
6984,Lost In You,Garth Brooks as Chris Gaines,60,0.77,0.607,5,-12.02,0,0.115,0.337,0.0,0.121,0.792,90.02799999999999
6985,Lightning Does The Work,Chad Brock,34,0.6920000000000001,0.6409999999999999,7,-7.601,1,0.0359,0.0239,1.23e-05,0.114,0.5589999999999999,98.742
6986,You'll Be In My Heart,Phil Collins,74,0.568,0.746,8,-6.582000000000001,1,0.0293,0.0549,3.66e-06,0.0966,0.626,96.626
6987,She's In Love,Mark Wills,67,0.6729999999999999,0.579,0,-5.398,1,0.0278,0.301,5.82e-06,0.0705,0.578,109.976
6988,What Ya Want,EVE & Nokio,41,0.83,0.853,2,-6.111000000000001,1,0.231,0.0474,0.0,0.0699,0.787,91.28
6989,Meeting In My Bedroom,Silk,55,0.716,0.455,2,-7.148,0,0.0282,0.0329,1.87e-06,0.0599,0.226,111.66799999999999
6990,I Could Not Ask For More,Edwin McCain,46,0.584,0.509,8,-10.338,1,0.0279,0.0234,0.00016999999999999999,0.0808,0.387,138.02200000000002
6991,Jigga My N****,JAY-Z,70,0.621,0.6829999999999999,11,-5.619,0,0.242,0.00243,0.00856,0.525,0.0917,124.28299999999999
6992,Summer Girls,LFO,58,0.531,0.915,4,-5.215,1,0.0828,0.0131,0.0,0.11900000000000001,0.557,141.06
6993,It's All About You (Not About Me),Tracie Spencer,22,0.752,0.5870000000000001,10,-6.292999999999999,0,0.0348,0.136,5.26e-06,0.0782,0.594,135.91899999999998
6994,If You Had My Love,Jennifer Lopez,62,0.68,0.625,11,-7.0,0,0.0353,0.0645,5.8099999999999996e-05,0.109,0.8140000000000001,94.02
6995,"Bills, Bills, Bills",Destiny's Child,66,0.845,0.5760000000000001,11,-5.15,0,0.153,0.139,0.0,0.0764,0.461,127.641
6996,Missing You,Brooks & Dunn,66,0.56,0.731,2,-6.121,1,0.0281,0.0475,0.0,0.282,0.401,99.98100000000001
6997,Wanna Be A Baller,"Lil' Troy Featuring Yungsta, Fat Pat, Lil' Will, Hawk, Big T",62,0.8690000000000001,0.649,10,-7.954,0,0.275,0.276,0.0,0.209,0.66,92.296
6998,Little Man,Alan Jackson,69,0.524,0.76,5,-4.2139999999999995,1,0.0361,0.126,1.1e-05,0.239,0.43700000000000006,143.991
6999,Hey Leonardo (She Likes Me For Me),Blessid Union Of Souls,54,0.611,0.871,1,-2.965,1,0.0393,0.0384,1.21e-06,0.0965,0.7,103.094
7000,I'll Still Love You More,Trisha Yearwood,31,0.488,0.528,6,-6.127000000000001,0,0.03,0.5710000000000001,0.0,0.20600000000000002,0.16399999999999998,147.871
7001,Jamboree,Naughty By Nature Featuring Zhane,57,0.7340000000000001,0.9209999999999999,11,-5.662999999999999,0,0.0436,0.0144,0.0,0.0998,0.6779999999999999,144.013
7002,All N My Grill,"Missy ""Misdemeanor"" Elliott Featuring Big Boi & Nicole",48,0.715,0.621,1,-8.107000000000001,1,0.0875,0.221,0.0,0.298,0.753,84.87299999999999
